Keyword,Search Volume,Keyword Difficulty,Position,Previous position,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents
catalog printing,1300,56,9,9,8.28,https://www.psprint.com/catalogs,39,0.05,322,1,174000000,"[100,77,77,100,77,100,100,100,77,77,100,77]",2021-12-12,"Image pack, Reviews, People also ask, FAQ",commercial
high quality pictures,1300,80,30,30,2.16,https://www.psprint.com/resources/how-to-check-your-image-resolution/,1,0,4,0.15,9670000000,"[100,100,100,100,81,81,81,81,63,63,81,81]",2021-12-11,"Image pack, Site links, Reviews, People also ask",commercial
round stickers,1300,46,26,26,3.43,https://www.psprint.com/design-templates/stickers-labels/~~horizontal_circle-vertical_circle,1,0,6,1,111000000,"[81,81,63,100,81,100,100,81,81,81,81,81]",2021-12-12,"Image pack, Reviews, Video, Image, Shopping ads, People also ask","informational, transactional"
business card creator free,1300,76,8,8,2.03,https://www.psprint.com/design-templates/business-cards/,39,0.05,79,1,271000000,"[81,81,63,100,81,100,100,81,81,100,81,81]",2021-12-12,"Site links, Reviews, Video Carousel, FAQ",commercial
invitation card template,1300,72,5,5,0.93,https://www.psprint.com/design-templates/invitation-cards/,65,0.08,60,1,1470000000,"[81,55,55,55,55,81,81,100,100,100,81,100]",2021-12-07,"Image pack, Site links, Reviews, Video, Shopping ads, FAQ","informational, transactional"
thick business cards,1300,42,36,36,3.15,https://www.psprint.com/business-cards/ultra-business-cards,0,0,2,1,89900000,"[100,100,77,100,77,100,100,100,77,100,100,100]",2021-12-12,"Image pack, Reviews, Video, Image, Video Carousel, People also ask, FAQ",transactional
thanksgiving font,1300,27,12,12,0,https://blog.psprint.com/designing/30-terrific-thanksgiving-fonts/,16,0.02,0,0.32,2440000000,"[24,100,2,1,1,1,0,1,1,1,3,6]",2021-12-13,"Image pack, Reviews, People also ask","commercial, informational"
free text invites,1300,73,43,43,0.42,https://www.psprint.com/resources/business-invitation-wording-examples/,0,0,0,0.65,146000000,"[100,84,68,53,38,46,53,53,53,53,68,100]",2021-12-12,"Reviews, Video, AdWords top, People also ask, FAQ",commercial
wedding favor tags,1000,55,44,44,1.61,https://www.psprint.com/resources/personalize-your-wedding-with-favor-tags/,0,0,0,1,14800000,"[55,37,37,55,55,81,81,100,100,100,100,100]",2021-12-07,"Image pack, Reviews, Image, Video Carousel, People also ask",transactional
custom printed envelopes,1000,62,41,41,4.05,https://www.psprint.com/envelopes/category,0,0,1,1,15300000,"[100,100,100,100,77,100,77,77,77,68,77,77]",2021-12-12,"Site links, Reviews, Image, Shopping ads","informational, transactional"
wedding invitation website,1000,78,83,85,3.76,https://www.psprint.com/design-templates/invitation-cards/~~~~~~wedding,0,0,0,1,124000000,"[37,37,30,63,63,81,63,100,81,63,55,55]",2021-12-13,"Image pack, Site links, Reviews, FAQ",commercial
business logo stickers,1000,65,53,57,2.8,https://www.psprint.com/design-templates/stickers-labels/,0,0,0,1,184000000,"[81,63,63,100,81,81,81,63,63,63,63,63]",2021-12-13,"Image pack, Site links, Reviews, Video, FAQ",commercial
virtual invitation maker,1000,78,47,47,0.74,https://www.psprint.com/design-templates/invitation-cards/,0,0,0,1,32800000,"[55,55,45,63,63,81,100,100,81,63,63,63]",2021-12-11,"Reviews, Video, AdWords top, People also ask, FAQ",commercial
electronic wedding invitations,1000,70,88,0,3.24,https://www.psprint.com/design-templates/invitation-cards/~~~~~~wedding,0,0,0,1,15600000,"[55,45,45,77,77,100,100,100,100,77,77,68]",2021-12-13,"Reviews, Image, Video Carousel, People also ask, FAQ",commercial
get stickers made,1000,74,92,96,3.1,https://www.psprint.com/design-templates/stickers-labels/,0,0,0,1,527000000,"[100,88,88,100,88,100,100,100,100,88,100,100]",2021-12-13,"Site links, Reviews, Video Carousel, FAQ",transactional
custom presentation folders,1000,55,41,41,8.11,https://www.psprint.com/pocket-folders,0,0,2,1,13000000,"[100,77,68,100,77,77,77,77,68,68,77,68]",2021-12-12,"Image pack, Site links, Reviews, Image, FAQ",transactional
text message invitations,1000,58,79,79,1.06,https://www.psprint.com/resources/business-invitation-wording-examples/,0,0,0,1,46700000,"[63,45,37,45,45,63,81,100,100,100,100,81]",2021-12-07,"Reviews, Video, AdWords top, People also ask, FAQ",commercial
make your own postcard,1000,68,18,18,2.32,https://www.psprint.com/design-templates/postcards/,3,0,6,1,49700000,"[77,100,100,77,68,68,68,68,68,68,77,55]",2021-12-12,"Site links, Reviews, AdWords top, Video Carousel, FAQ",transactional
print your own stickers,1000,68,34,34,1.84,https://www.psprint.com/design-templates/stickers-labels/,0,0,1,1,75700000,"[100,100,100,100,88,100,100,88,88,88,100,88]",2021-12-13,"Site links, Reviews, Video Carousel, FAQ",transactional
create vector image,1000,71,39,39,2.08,https://www.psprint.com/resources/difference-between-raster-vector/,0,0,1,0.4,4130000000,"[100,88,88,100,88,100,100,100,88,100,100,88]",2021-12-13,"Site links, Reviews, Video, People also ask, FAQ",transactional
500 business cards,1000,73,99,99,2.23,https://www.psprint.com/business-cards/category,0,0,0,1,618000000,"[77,68,55,77,77,100,77,100,100,77,77,77]",2021-12-13,"Image pack, Site links, Reviews, Video, People also ask, FAQ",transactional
dvd sleeves,1000,31,64,64,0.7,https://www.psprint.com/cd-dvd-sleeves,0,0,0,1,37400000,"[81,81,81,100,63,63,63,63,55,45,55,55]",2021-12-12,"Image pack, Reviews, Image, Shopping ads, Video Carousel, People also ask","informational, transactional"
best business card designs,1000,68,23,23,3.58,https://www.psprint.com/design-templates/business-cards/,1,0,5,1,436000000,"[100,77,68,100,77,100,100,100,77,77,100,100]",2021-12-12,"Image pack, Reviews, Shopping ads, Video Carousel, FAQ",commercial
blank sticker labels,1000,64,44,44,2.35,https://www.psprint.com/design-templates/stickers-labels/st-1741/,0,0,0,1,12700000,"[16,100,53,24,16,20,20,20,16,20,24,20]",2021-12-07,"Image pack, Site links, Reviews, Shopping ads, FAQ","informational, transactional"
holiday card printing,1000,76,28,28,3.19,https://www.psprint.com/greeting-cards,1,0,4,1,86300000,"[13,55,100,4,2,2,2,2,2,2,3,5]",2021-12-12,"Image pack, Reviews, Shopping ads, FAQ",commercial
business card stickers,1000,42,21,21,2.29,https://www.psprint.com/design-templates/stickers-labels/~2x3,1,0,3,1,99200000,"[88,88,72,100,88,100,100,100,100,100,100,100]",2021-12-07,"Image pack, Site links, Reviews, Video, Shopping ads",transactional
design creator,1000,92,100,100,1.71,https://www.psprint.com/design-templates/letterhead/,0,0,0,0.54,586000000,"[100,100,77,100,77,100,100,77,77,77,77,77]",2021-12-12,"Site links, Reviews, FAQ",commercial
postcard paper,1000,43,21,21,1,https://www.psprint.com/postcards/colored-paper-cards,1,0,1,1,53100000,"[77,77,100,77,68,77,68,68,68,68,68,68]",2021-12-13,"Site links, Reviews, Image, Video Carousel, People also ask, FAQ",transactional
digital invitation maker,1000,75,46,46,0.82,https://www.psprint.com/design-templates/invitation-cards/,0,0,0,1,45400000,"[63,55,37,45,45,63,81,100,100,100,81,81]",2021-12-07,"Site links, Reviews, Video, AdWords top, People also ask, FAQ",commercial
realtor postcards,1000,58,92,82,9.43,https://www.psprint.com/design-templates/postcards/~~~~real_estate,0,0,0,1,4620000,"[77,68,55,100,100,100,77,68,68,68,68,68]",2021-12-13,"Image pack, Site links, Reviews, AdWords top, Video Carousel, People also ask, FAQ",commercial
die cut business cards,1000,42,9,9,2.2,https://www.psprint.com/die-cut-cards,30,0.03,66,1,73400000,"[100,88,72,88,88,100,100,100,100,100,100,88]",2021-12-13,"Image pack, Site links, Reviews, Video Carousel, People also ask, FAQ",transactional
fedex flyer printing,1000,83,22,22,2,https://www.psprint.com/resources/cheap-flyers-are-powerful-marketing-tools/,0,0,0,0.44,337000,"[7,7,7,11,100,19,9,7,11,19,24,11]",2021-12-09,"Reviews, AdWords top, Video Carousel","navigational, transactional"
usps eddm tool,1000,74,38,35,1.93,https://www.psprint.com/resources/what-is-eddm-every-door-direct-mail-2/,0,0,0,0.39,29600,"[77,68,68,77,77,100,100,77,77,77,77,77]",2021-12-13,"Site links, Video Carousel, People also ask, FAQ","navigational, transactional"
cmyk to pms,1000,44,21,21,0.44,https://blog.psprint.com/printing/cmyk-vs-rgb-vs-pms-what%E2%80%99s-difference-and-when-use-them/,1,0,0,0.06,7580000,"[100,77,77,77,77,100,100,77,100,77,100,100]",2021-12-12,"Site links, Video, People also ask",transactional
free high definition,1000,74,86,75,1.12,https://www.psprint.com/resources/how-to-check-your-image-resolution/,0,0,0,0.02,948000000,"[100,77,77,100,77,68,68,68,68,68,55,68]",2021-12-13,"Site links, Reviews, People also ask",commercial
lunch invitation,1000,40,62,57,1.34,https://www.psprint.com/resources/business-invitation-wording-examples/,0,0,0,1,75400000,"[55,55,55,68,68,77,100,100,100,100,77,77]",2021-12-13,"Image pack, Site links, Reviews, Video Carousel, People also ask, FAQ",commercial
happy hour invite,1000,44,32,32,1.29,https://www.psprint.com/resources/cocktail-party-invitation-wording-ideas/,0,0,0,1,51500000,"[37,45,55,55,55,81,81,81,100,81,63,63]",2021-12-07,"Image pack, Reviews, Video, Shopping ads, Video Carousel, People also ask, FAQ","commercial, informational"
round business cards,1000,38,77,77,2.49,https://www.psprint.com/design-templates/business-cards/,0,0,0,1,2040000000,"[77,68,68,77,77,100,77,77,77,77,77,77]",2021-12-13,"Image pack, Reviews, Video Carousel, People also ask, FAQ",transactional
wedding reception program,1000,58,30,30,1.06,https://www.psprint.com/resources/wedding-program-content-guide/,1,0,1,1,2790000000,"[55,37,37,45,45,63,63,100,100,100,100,81]",2021-12-08,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask","commercial, informational"
homemade handmade birthday cards,1000,64,92,92,0,https://www.psprint.com/design-templates/greeting-cards/~~~~~~birthday,0,0,0,1,27400000,"[68,68,68,100,100,100,77,77,68,77,77,77]",2021-12-08,"Image pack, Reviews, Video Carousel, People also ask","commercial, informational"
custom greeting card printing,1000,58,10,10,3.13,https://www.psprint.com/greeting-cards,30,0.03,93,1,23200000,"[68,100,84,53,46,46,46,46,31,31,38,38]",2021-12-12,"Site links, Reviews, AdWords bottom, FAQ",transactional
small business business cards,1000,77,58,58,8.25,https://www.psprint.com/design-templates/business-cards/,0,0,0,1,1640000000,"[68,68,68,100,77,100,77,77,77,68,68,68]",2021-12-09,"Image pack, Reviews, Image, Video Carousel, People also ask, FAQ",commercial
cheap labels,1000,66,27,27,3.26,https://www.psprint.com/stickers-labels,1,0,4,1,167000000,"[100,77,77,77,77,77,68,68,68,55,68,55]",2021-12-12,"Image pack, Site links, Reviews, Video, People also ask, FAQ",transactional
cool magnets,1000,25,88,75,0.44,https://www.psprint.com/resources/cool-ways-to-market-your-business-with-magnets/,0,0,0,1,28300000,"[68,100,100,77,68,68,55,68,55,68,77,77]",2021-12-13,"Image pack, Reviews, Video, Image, Video Carousel",transactional
best number fonts,1000,63,66,66,1.69,https://www.psprint.com/resources/powerful-business-card-fonts/,0,0,0,0.66,192000000,"[77,68,77,100,77,77,77,77,68,68,68,68]",2021-12-13,"Reviews, Featured snippet, People also ask","commercial, informational"
usps marketing mail,1000,74,67,67,5.37,https://www.psprint.com/resources/what-is-eddm-every-door-direct-mail/,0,0,0,0.31,7660000,"[77,77,100,100,68,77,68,68,68,68,77,68]",2021-12-12,"Image pack, Video, AdWords bottom, People also ask",transactional
greeting card design,1000,74,5,5,1.4,https://www.psprint.com/design-templates/greeting-cards/,50,0.06,70,1,351000000,"[68,68,100,68,68,53,53,53,46,46,46,46]",2021-12-12,"Image pack, Site links, Reviews, Video Carousel",commercial
custom name stickers,1000,39,94,88,1.21,https://www.psprint.com/design-templates/stickers-labels/,0,0,0,1,139000000,"[55,63,63,55,55,81,63,63,63,81,100,63]",2021-12-13,"Image pack, Site links, Reviews, Video",transactional
create an invitation free,1000,80,11,12,0.7,https://www.psprint.com/design-templates/invitation-cards/,47,0.06,32,0.9,283000000,"[77,68,55,55,55,68,77,100,77,77,77,77]",2021-12-13,"Site links, Reviews, Video Carousel, FAQ",commercial
birth announcement template,1000,51,21,21,1.37,https://www.psprint.com/design-templates/invitation-cards/~~~~~~birth_announcement,1,0,2,1,9280000,"[77,68,77,77,77,77,77,100,68,77,77,77]",2021-12-13,"Image pack, Site links, Reviews, Video, Image, People also ask, FAQ","commercial, informational"
wedding e invite,1000,74,63,63,3.42,https://www.psprint.com/design-templates/invitation-cards/~~~~~~wedding,0,0,0,1,48600000,"[55,45,37,63,63,100,81,81,81,81,63,63]",2021-12-08,"Site links, Reviews, Video, AdWords top, Video Carousel, People also ask, FAQ",commercial
restaurant card,880,41,72,72,1.97,https://www.psprint.com/design-templates/business-cards/~~~~restaurants_and_food,0,0,0,1,2990000000,"[100,81,67,9,6,7,7,7,6,6,6,6]",2021-12-12,"Image pack, Reviews, People also ask",commercial
premium business cards,880,58,16,16,4.02,https://www.psprint.com/business-cards/category,4,0,17,1,1120000000,"[100,88,72,72,72,100,100,88,72,72,72,88]",2021-12-12,"Site links, Reviews, Image, Video Carousel, People also ask, FAQ",commercial
business card generator,880,79,8,8,2.22,https://www.psprint.com/design-templates/business-cards/,26,0.03,58,1,174000000,"[88,72,72,88,88,100,100,88,72,88,72,88]",2021-12-08,"Site links, Reviews, Video, People also ask, FAQ",commercial
custom id badge,880,55,60,60,2.11,https://www.psprint.com/resources/creative-design/id-badges/,0,0,0,1,53800000,"[88,59,72,88,88,100,88,88,88,88,100,100]",2021-12-07,"Image pack, Site links, Reviews",transactional
create bumper stickers,880,62,45,45,1.02,https://www.psprint.com/resources/how-to-design-your-own-bumper-stickers/,0,0,0,1,16500000,"[25,25,100,42,54,42,30,30,30,25,25,25]",2021-12-08,"Reviews, Video, Image, People also ask, FAQ",transactional
baby boy announcement template,880,49,31,31,1.04,https://www.psprint.com/design-templates/invitation-cards/~~~~~~birth_announcement,0,0,0,1,6760000,"[2,2,2,3,3,36,66,24,44,100,19,24]",2021-12-08,"Image pack, Site links, Reviews, Video, Image, People also ask","informational, transactional"
blank stickers,880,46,11,12,1.22,https://www.psprint.com/design-templates/stickers-labels/st-1741/,41,0.05,50,1,158000000,"[88,88,88,100,88,100,100,88,88,88,88,88]",2021-12-13,"Image pack, Site links, Reviews, Video, Image","informational, transactional"
invitation card design,880,79,4,4,1.1,https://www.psprint.com/design-templates/invitation-cards/,61,0.08,67,1,3570000000,"[88,59,59,72,59,88,88,100,88,88,88,100]",2021-12-08,"Image pack, Reviews, Shopping ads, Video Carousel, FAQ","commercial, informational"
90s rap album covers,880,39,65,0,0,https://blog.psprint.com/printing/90s-album-cover-designs/,0,0,0,0.13,16300000,"[100,88,88,100,100,100,88,100,88,72,88,88]",2021-12-13,Reviews,commercial
xmas greetings,880,74,88,88,0.79,https://www.psprint.com/design-templates/greeting-cards/~~~~~~christmas,0,0,0,0.95,41800000,"[1,5,100,1,0,0,0,0,0,0,0,0]",2021-12-07,"Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask","commercial, informational"
pantone color picker,880,54,44,44,0.22,https://www.psprint.com/resources/matching-pantone-color-to-cmyk/,0,0,0,0.09,467000,"[100,100,100,100,100,100,100,82,82,82,82,82]",2021-12-07,"Image pack, Site links, Reviews, Video, People also ask","informational, transactional"
return labels custom,880,77,32,32,2.5,https://www.psprint.com/resources/create-your-own-custom-return-address-labels/,0,0,1,1,3760000000,"[45,63,100,63,45,55,45,24,45,55,55,55]",2021-12-11,"Site links, Reviews, AdWords top, Shopping ads, People also ask, FAQ",commercial
inexpensive wedding invitations,880,57,27,26,2.76,https://www.psprint.com/resources/affordable-wedding-invitations-for-budget-weddings/,1,0,3,1,4250000,"[45,37,45,100,77,77,77,68,68,68,55,45]",2021-12-13,"Site links, Reviews, Image, AdWords top, Video Carousel, People also ask, FAQ",commercial
4x6 size,880,51,55,55,2.09,https://www.psprint.com/helpcenter/guides/sizing-requirements/help/,0,0,0,0.84,52200000,"[68,68,100,68,68,68,68,68,68,68,68,68]",2021-12-07,"Image pack, Site links, Reviews, Video, People also ask","informational, transactional"
cards wallpaper,880,37,26,26,0,https://www.psprint.com/design-templates/business-cards/bc-523/,1,0,0,0.27,4690000000,"[55,55,68,100,100,68,68,68,68,77,77,68]",2021-12-07,"Image pack, Reviews, Video",commercial
invitation websites,880,83,85,85,1.71,https://www.psprint.com/design-templates/invitation-cards/,0,0,0,1,91900000,"[72,59,59,88,72,100,100,100,100,100,88,88]",2021-12-08,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, People also ask, FAQ",commercial
free wedding invitations,880,73,30,30,1.81,https://www.psprint.com/design-templates/invitation-cards/~~~~~~wedding,1,0,2,1,61000000,"[88,59,48,88,88,100,100,100,100,88,88,72]",2021-12-07,"Site links, Reviews, Video, AdWords top, FAQ",commercial
2x2 sticker,880,27,4,3,3.18,https://www.psprint.com/design-templates/stickers-labels/~2x2,61,0.08,195,1,11800000,"[88,88,88,100,88,100,100,88,88,72,100,72]",2021-12-13,"Image pack, Reviews, Video, Image","informational, transactional"
gift labels,880,52,44,44,1.24,https://www.psprint.com/stickers-labels/gift-labels,0,0,0,1,404000000,"[11,55,100,7,7,7,7,9,7,7,7,9]",2021-12-08,"Image pack, Reviews, Video","commercial, informational"
invitation creator app,880,60,87,87,0.86,https://www.psprint.com/design-templates/invitation-cards/,0,0,0,0.53,18100000,"[88,88,59,72,72,88,88,100,100,88,88,72]",2021-12-11,"Reviews, Video, Video Carousel, People also ask, FAQ",commercial
gift card maker,880,67,32,32,1.89,https://www.psprint.com/design-templates/greeting-cards/,0,0,1,1,459000000,"[37,54,100,30,30,25,30,30,25,20,25,25]",2021-12-07,"Reviews, AdWords top, People also ask, FAQ",commercial
vector program,880,82,75,75,1.87,https://www.psprint.com/resources/difference-between-raster-vector/,0,0,0,0.14,0,"[100,88,88,88,72,88,72,72,72,59,72,72]",2021-12-07,"Carousel, Image pack, Site links, Reviews, Video Carousel, People also ask, FAQ",commercial
comic book printing,880,52,79,79,1.69,https://www.psprint.com/booklets/coloring-comic-books,0,0,0,1,20900000,"[88,100,88,88,88,100,88,88,100,88,100,88]",2021-12-13,"Site links, Reviews, Video, Video Carousel, People also ask",commercial
quick business cards,880,66,40,40,6.31,https://www.psprint.com/business-cards,0,0,3,1,3340000000,"[68,55,45,55,55,68,68,68,77,77,77,100]",2021-12-08,"Site links, Reviews, FAQ",transactional
best business card maker,880,80,22,22,3.58,https://www.psprint.com/design-templates/business-cards/,1,0,4,1,2320000000,"[100,67,82,82,82,100,100,100,100,100,100,100]",2021-12-11,"Reviews, Featured snippet, AdWords top, Video Carousel, FAQ",commercial
car sticker maker,880,70,18,18,0.63,https://www.psprint.com/stickers-labels/category,2,0,1,1,36800000,"[100,68,68,68,55,77,68,68,68,55,55,55]",2021-12-11,"Site links, Reviews, Image, Video Carousel, People also ask","informational, transactional"
create wedding invitations,880,77,17,14,2.38,https://www.psprint.com/design-templates/invitation-cards/~~~~~~wedding,3,0,8,1,54400000,"[88,72,59,100,88,100,88,100,100,88,88,88]",2021-12-13,"Site links, Reviews, Video, Video Carousel, FAQ",commercial
cheap holiday cards,880,75,51,58,2.78,https://www.psprint.com/greeting-cards/flat-holiday-cards,0,0,0,0.92,3010000000,"[16,100,100,5,2,2,3,1,2,1,2,3]",2021-12-13,"Reviews, Image, Shopping ads, People also ask, FAQ",commercial
usps postcard template,880,68,10,10,3.18,https://www.psprint.com/layout-templates/postcards-printing/,5,0,16,0.42,412000,"[100,88,88,88,72,88,72,72,72,72,72,72]",2021-12-12,"Image pack, Site links, Reviews, Video, People also ask","informational, transactional"
custom round stickers,880,43,29,29,4.32,https://www.psprint.com/design-templates/stickers-labels/~~horizontal_circle-vertical_circle,1,0,5,1,59900000,"[88,88,72,100,88,88,88,72,72,72,72,59]",2021-12-08,"Site links, Reviews, Video, Image, Shopping ads",transactional
circle business cards,880,31,19,16,2.32,https://www.psprint.com/design-templates/business-cards/~~horizontal_circle,2,0,6,1,1080000000,"[88,88,72,88,72,88,100,88,88,88,100,88]",2021-12-13,"Image pack, Reviews, Video, Image, FAQ",transactional
4x6 postcard,880,60,5,5,3.01,https://www.psprint.com/design-templates/postcards/~4x6,44,0.05,132,1,9190000,"[100,88,88,88,88,88,88,72,88,88,88,88]",2021-12-13,"Image pack, Site links, Reviews, Image, Video Carousel, People also ask",transactional
illustrator fonts,880,53,68,53,1.95,https://www.psprint.com/helpcenter/artwork/print-ready/fonts-transparency-illustrator/,0,0,0,0.14,38300000,"[100,88,88,88,100,88,88,88,72,72,72,88]",2021-12-13,"Image pack, Site links, Video, Video Carousel, People also ask",transactional
coloring book printing,880,39,15,15,1.87,https://www.psprint.com/booklets/coloring-comic-books,4,0,8,1,38100000,"[100,100,100,100,88,100,88,88,88,88,72,88]",2021-12-12,"Image pack, Site links, Reviews, Video Carousel, People also ask",transactional
custom pocket folders,880,53,26,26,5.19,https://www.psprint.com/pocket-folders,1,0,6,1,14100000,"[45,37,30,55,55,68,77,77,100,100,77,77]",2021-12-08,"Image pack, Site links, Reviews, Shopping ads",transactional
photo resolution,880,65,4,4,1.13,https://www.psprint.com/resources/how-to-check-your-image-resolution/,61,0.08,69,0.08,6720000000,"[77,77,100,77,55,68,68,68,55,55,55,55]",2021-12-13,"Site links, Reviews, Video Carousel, People also ask",commercial
folded business cards,880,39,10,8,2.85,https://www.psprint.com/business-cards/folded-business-cards,26,0.03,75,1,22100000,"[100,82,67,100,100,100,100,100,100,100,100,100]",2021-12-13,"Image pack, Reviews, Image, Video Carousel, People also ask",transactional
3x3 sticker,880,29,8,7,2.97,https://www.psprint.com/design-templates/stickers-labels/~3x3,26,0.03,78,1,17600000,"[88,72,72,100,100,88,88,72,72,72,88,88]",2021-12-13,"Image pack, Reviews, Video, Image, Shopping ads, Video Carousel, People also ask","informational, transactional"
baby announcement postcards,880,40,75,75,2.67,https://www.psprint.com/resources/creative-design/announcement-cards/,0,0,0,1,7560000,"[44,28,100,36,28,44,44,100,36,82,54,82]",2021-12-07,"Image pack, Site links, Reviews, Video, Shopping ads, FAQ",commercial
postal envelope,880,63,57,57,2.24,https://www.psprint.com/layout-templates/direct-mail/envelopes-printing/,0,0,0,1,26000000,"[68,68,100,68,68,68,68,68,55,45,55,45]",2021-12-13,"Image pack, Site links, Video, People also ask","informational, transactional"
premium postcards,880,57,2,2,4.53,https://www.psprint.com/postcards,114,0.15,518,0.02,110000000,"[20,11,9,9,11,7,4,42,100,100,42,42]",2021-12-12,"Reviews, Video Carousel, People also ask, FAQ",transactional
cheapest place to print,880,69,53,42,1.85,https://www.psprint.com/resources/brochure-flyer-marketing-budget/,0,0,0,0.69,1610000000,"[88,72,72,100,88,88,72,88,88,88,100,88]",2021-12-13,"Site links, Reviews, People also ask","commercial, informational"
formal fonts,880,71,32,32,1.06,https://www.psprint.com/resources/powerful-business-card-fonts/,0,0,0,0.01,0,"[100,100,100,100,82,100,100,100,82,67,82,100]",2021-12-07,"Carousel, Reviews, Featured snippet, People also ask","commercial, informational"
color printing services,880,73,52,76,1.78,https://www.psprint.com/color-digital-copies,0,0,0,0.72,2580000000,"[100,88,88,88,88,72,72,100,59,59,88,72]",2021-12-13,"Site links, Reviews",commercial
coaster size,880,40,12,12,2.07,https://www.psprint.com/layout-templates/beverage-coasters-printing/,11,0.01,23,1,0,"[68,77,100,77,68,68,55,55,55,55,45,55]",2021-12-07,"Image pack, Reviews, Featured snippet, People also ask","commercial, informational"
personalized postcards,880,73,22,22,3.17,https://www.psprint.com/postcards,1,0,4,1,29200000,"[63,81,100,63,55,55,55,55,55,55,55,45]",2021-12-12,"Image pack, Site links, Reviews, Shopping ads, People also ask, FAQ",commercial
car decal maker,880,63,90,90,0.67,https://www.psprint.com/stickers-labels/category,0,0,0,1,7680000,"[100,72,72,88,72,100,88,88,88,72,72,72]",2021-12-12,"Site links, Reviews, Video Carousel, People also ask",transactional
digital holiday cards,880,63,59,0,1.59,https://www.psprint.com/greeting-cards/flat-holiday-cards,0,0,0,1,4050000000,"[6,20,100,3,1,1,1,1,1,1,1,1]",2021-12-13,"Image pack, Reviews, Video, Image, Shopping ads, People also ask, FAQ",commercial
envelope maker,880,34,15,15,0.76,https://www.psprint.com/design-templates/envelopes/,4,0,3,1,21100000,"[20,100,55,25,20,25,25,25,20,17,20,20]",2021-12-07,"Reviews, Video, Shopping ads, Video Carousel","informational, transactional"
company business card,880,85,6,5,4.37,https://www.psprint.com/design-templates/business-cards/,44,0.05,192,1,3860000000,"[88,88,72,88,88,100,88,88,88,88,88,88]",2021-12-13,"Image pack, Reviews, AdWords top, AdWords bottom, People also ask, FAQ",commercial
printable business cards,880,78,7,7,1.99,https://www.psprint.com/design-templates/business-cards/,35,0.04,70,1,212000000,"[100,88,72,88,88,100,100,100,100,100,88,100]",2021-12-14,"Image pack, Site links, Reviews, Video, AdWords top, Shopping ads, FAQ",commercial
name and address labels,880,75,23,23,1.26,https://www.psprint.com/resources/branding-your-name-with-personal-address-labels/,1,0,1,1,558000000,"[20,100,66,20,17,20,17,17,17,17,13,17]",2021-12-09,"Site links, Reviews, Video, Shopping ads, People also ask",commercial
sticker maker app,880,61,74,81,1.09,https://www.psprint.com/design-templates/stickers-labels/,0,0,0,1,70200000,"[77,68,77,100,68,77,68,55,55,55,55,55]",2021-12-13,"Site links, Reviews, Video Carousel, People also ask",transactional
business card font,720,48,3,2,2.46,https://www.psprint.com/resources/powerful-business-card-fonts/,64,0.08,159,1,3930000000,"[100,82,67,100,82,100,100,100,82,100,100,100]",2021-12-13,"Image pack, Reviews, Video, People also ask, FAQ",commercial
order return address labels,720,77,72,72,2.87,https://www.psprint.com/resources/create-your-own-custom-return-address-labels/,0,0,0,1,241000000,"[55,68,100,68,45,45,45,45,45,45,55,45]",2021-12-08,"Site links, Reviews, Video, AdWords top, Shopping ads, People also ask","informational, transactional"
invitation card maker,720,73,4,4,1.05,https://www.psprint.com/design-templates/invitation-cards/,50,0.06,52,1,137000000,"[67,67,55,55,55,82,82,100,100,100,82,100]",2021-12-08,"Image pack, Site links, Reviews, Video Carousel, People also ask, FAQ",commercial
wedding program thank you,720,38,25,25,1.85,https://www.psprint.com/resources/wedding-program-content-guide/,1,0,1,1,107000000,"[37,16,16,20,16,45,55,77,77,77,100,77]",2021-12-11,"Image pack, Site links, Reviews, Video, People also ask",commercial
summer palette,720,31,72,72,0,https://blog.psprint.com/designing/20-summer-color-palettes-graphic-design/,0,0,0,0.98,1430000000,"[37,30,37,37,45,55,68,100,100,68,45,37]",2021-12-04,"Image pack, Reviews, Video, Video Carousel, People also ask, FAQ","commercial, informational"
table banner with logo,720,46,73,73,3.79,https://www.psprint.com/banners/category,0,0,0,1,3850000000,"[39,39,21,39,48,59,88,88,88,100,100,88]",2021-12-09,"Image pack, Reviews, Video, Image, AdWords top, Shopping ads, FAQ",transactional
graduation template,720,64,41,28,1.35,https://www.psprint.com/design-templates/invitation-cards/~~~~~~graduation,0,0,0,0.99,108000000,"[5,7,7,7,6,13,36,100,44,11,7,6]",2021-12-14,"Image pack, Site links, Reviews, Video, FAQ","commercial, informational"
elegant business cards,720,41,10,10,2.76,https://www.psprint.com/design-templates/business-cards/~~~~~elegant,21,0.02,59,1,70300000,"[82,82,67,100,82,100,100,82,82,100,82,82]",2021-12-08,"Image pack, Site links, Reviews, Video, Image, FAQ","commercial, informational"
standard wedding invitation size,720,50,85,85,2.01,https://www.psprint.com/resources/perfect-wedding-program-printing-guide/,0,0,0,1,40200000,"[55,44,36,82,67,100,100,82,82,100,100,82]",2021-12-09,"Image pack, Reviews, Video, Featured snippet, Shopping ads, People also ask","commercial, informational"
